Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
January,23,Scientist,19114.12,18248433333333300,3,4,3,4,3,7,11.27,4.0,_,809.98,26822619623699000,22 Years and 1 Months,No,4957494921489410,8041529543900250,High_spent_Small_value_payments,31249400000000000,Good
February,23,Scientist,19114.12,,3,4,3,4,-1,,11.27,4.0,Good,809.98,3194496005538420,NA,No,4957494921489410,11828022162236700,Low_spent_Large_value_payments,28462900000000000,Good
April,23,Scientist,19114.12,,3,4,3,4,5,4,6.27,4.0,Good,809.98,31377861869582300,22 Years and 4 Months,No,4957494921489410,1994580743910710,Low_spent_Small_value_payments,22345100000000000,Good
May,23,Scientist,19114.12,18248433333333300,3,4,3,4,6,,11.27,4.0,Good,809.98,24797346908844900,22 Years and 5 Months,No,4957494921489410,41420153086217300,High_spent_Medium_value_payments,34148900000000000,Good
June,23,Scientist,19114.12,,3,4,3,4,8,4,9.27,4.0,Good,809.98,2726225871052010,22 Years and 6 Months,No,4957494921489410,62430172331195200,!@9#%8,3404790000000000,Good
July,23,Scientist,19114.12,18248433333333300,3,4,3,4,3,8_,11.27,4.0,Good,809.98,2253759303178380,22 Years and 7 Months,No,4957494921489410,1783440674122340,Low_spent_Small_value_payments,2445650000000000,Good
August,23,Scientist,19114.12,18248433333333300,3,4,3,4,3,6,11.27,4.0,Good,809.98,2393379480196550,NA,No,4957494921489410,24785216509052000,High_spent_Medium_value_payments,35812400000000000,Standard
January,28_,nan,34847.84,3037986666666660,2,4,6,1,3,4,5.42,2.0,Good,605.03,2446403063758450,26 Years and 7 Months,No,18816214573128800,104291825168246,Low_spent_Small_value_payments,47069100000000000,Standard
February,28,Teacher,34847.84,3037986666666660,2,4,6,1,7,1,7.42,2.0,Good,605.03,38550848433956300,26 Years and 8 Months,No,18816214573128800,4039123782853100,High_spent_Large_value_payments,4845910000000000,Good
March,28,Teacher,34847.84_,3037986666666660,2,1385,6,1,3,-1,5.42,2.0,_,605.03,3322495078663650,26 Years and 9 Months,No,18816214573128800,5851597569589460,High_spent_Large_value_payments,46646600000000000,Standard
April,28,Teacher,34847.84,,2,4,6,1,3,3_,5.42,2.0,Good,605.03,3918265565546880,26 Years and 10 Months,No,18816214573128800,9930622796053300,Low_spent_Medium_value_payments,4656760000000000,Good
May,28,Teacher,34847.84,3037986666666660,2,4,6,1,3,1,6.42,2.0,Good,605.03,3497789474709240,26 Years and 11 Months,No,18816214573128800,13011542024292300,Low_spent_Small_value_payments,4448670000000000,Good
June,28,Teacher,34847.84,3037986666666660,2,4,6,1,3,0,5.42,2.0,Good,605.03,3338101020065060,27 Years and 0 Months,No,18816214573128800,43477190144355700,High_spent_Large_value_payments,481505261949182,Good
July,28,Teacher,34847.84,,2,4,6,1,3,4,5.42,2.0,Good,605.03,31131701611553300,27 Years and 1 Months,NM,18816214573128800,7010177420755670,High_spent_Medium_value_payments,4648810000000000,Good
August,28,Teacher,34847.84,3037986666666660,2,4,6,1,3,4,5.42,2.0,Good,605.03,32933856293622200,27 Years and 2 Months,No,18816214573128800,21890434353388700,Low_spent_Small_value_payments,35607800000000000,Good
January,34,nan,143162.64,12187.22,1,5,8,3,5,8,7.1,3.0,Good,1303.01,28616734823006800,17 Years and 9 Months,No,2469923194537420,168413702679309,!@9#%8,10433200000000000,Good
February,34,Engineer,143162.64,12187.22,1,5,8,3,13,6,7.1,3.0,Good,1303.01,4170257342393900,17 Years and 10 Months,No,2469923194537420,23286038375993500,High_spent_Small_value_payments,9988690000000000,Good
